shop,address,place ID,urls
澎湖馬公門市,澎湖縣 馬公市 仁愛路77號,ChIJw5U_MfNabDQReGdkknrbnIY,"https://www.google.com/maps/place/Louisa+Coffee+%E8%B7%AF%E6%98%93%E8%8E%8E%E5%92%96%E5%95%A1(%E6%BE%8E%E6%B9%96%E9%A6%AC%E5%85%AC%E9%96%80%E5%B8%82)/@23.565709,119.5650055,20.75z/data=!4m6!3m5!1s0x346c5af331305581:0x1ae4a70a7a912c28!8m2!3d23.5656219!4d119.564813!16s%2Fg%2F11c2y4_cs0?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
金門金城門市,金門縣 金城鎮 環島北路一段19號,ChIJyaY9ZGeiFDQRhlaz9JK7ENo,"https://www.google.com/maps/place/%E8%B7%AF%E6%98%93%E8%8E%8E%E5%92%96%E5%95%A1(%E9%87%91%E9%96%80%E9%87%91%E5%9F%8E%E9%96%80%E5%B8%82)/@24.4410433,118.3221011,18.25z/data=!4m6!3m5!1s0x3414a321c27a99e5:0xa5815129bfe3a6b!8m2!3d24.4411452!4d118.3223526!16s%2Fg%2F11jgc34xft?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
花蓮民國門市,花蓮縣 花蓮市 民國路79-3號,ChIJ_duWw7-faDQRjZH__NODrhk,"https://www.google.com/maps/place/Louisa+Coffee+%E8%B7%AF%E6%98%93%E8%8E%8E%E5%92%96%E5%95%A1(%E8%8A%B1%E8%93%AE%E6%B0%91%E5%9C%8B%E9%96%80%E5%B8%82)/@23.9777067,121.6011679,17z/data=!3m1!4b1!4m6!3m5!1s0x34689f08e0a8487f:0x282bddd0cd1404ce!8m2!3d23.9777067!4d121.6037428!16s%2Fg%2F11rnhrtn_z?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
三重成功門市,新北市 三重區 成功路98號,ChIJ5Xi-SPyoQjQRSZVKyF7KUaw,"https://www.google.com/maps/place/Louisa+Coffee+%E8%B7%AF%E6%98%93%E8%8E%8E%E5%92%96%E5%95%A1(%E4%B8%89%E9%87%8D%E6%88%90%E5%8A%9F%E5%BA%97)/@25.0511785,121.485288,17z/data=!3m2!4b1!5s0x3442a9a1602727b1:0xf8ff3cd486724491!4m6!3m5!1s0x3442a8fc48be78e5:0x599e133da828176e!8m2!3d25.0511785!4d121.4878629!16s%2Fg%2F11cns7xtpw?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
高雄小港門市,高雄市 小港區 漢民路616號,ChIJvfTM-tscbjQRkZbmA7kh6zU,"https://www.google.com/maps/place/%E8%B7%AF%E6%98%93%E8%8E%8E%E5%92%96%E5%95%A1+(%E9%AB%98%E9%9B%84%E5%B0%8F%E6%B8%AF%E9%96%80%E5%B8%82)/@22.5750044,120.3496802,15z/data=!4m10!1m2!2m1!1zTG91aXNhIENvZmZlZSDot6_mmJPojo7lkpbllaEo6auY6ZuE5bCP5riv5bqXKQ!3m6!1s0x346e1cdbfaccf4bd:0x664d9f34f1fb7d64!8m2!3d22.5667745!4d120.36005!15sCi5Mb3Vpc2EgQ29mZmVlIOi3r-aYk-iOjuWSluWVoSjpq5jpm4TlsI_muK_lupcpWi8iLWxvdWlzYSBjb2ZmZWUg6Lev5piTIOiOjiDlkpbllaEg6auY6ZuEIOWwj-a4r5IBC2NvZmZlZV9zaG9w4AEA!16s%2Fg%2F11c5912t97?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
斗六中堅門市,雲林縣 斗六市 中堅西路533號,ChIJvw-g5xjIbjQRknTq905f3JI,"https://www.google.com/maps/place/Louisa+Coffee+%E8%B7%AF%E6%98%93%E8%8E%8E%E5%92%96%E5%95%A1+(%E6%96%97%E5%85%AD%E4%B8%AD%E5%A0%85%E5%BA%97)/@23.7007145,120.5167448,15z/data=!3m1!4b1!4m6!3m5!1s0x346ec9be5d023a0d:0xbe08303b8169b479!8m2!3d23.7007156!4d120.5351989!16s%2Fg%2F11fgm64dcd?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
雲林虎尾門市,雲林縣 虎尾鎮 新生路92號,ChIJW4-6oVS3bjQRn5Z_CeyQk6g,"https://www.google.com/maps/place/Louisa+Coffee+%E8%B7%AF%E6%98%93%E8%8E%8E%E5%92%96%E5%95%A1(%E9%9B%B2%E6%9E%97%E8%99%8E%E5%B0%BE%E9%96%80%E5%B8%82)/@23.7078499,120.4330006,17z/data=!4m10!1m2!2m1!1zTG91aXNhIENvZmZlZSDot6_mmJPojo7lkpbllaEgKOmbsuael-iZjuWwvuW6lyk!3m6!1s0x346eb7fdded9ff87:0x98f433ad903d2b46!8m2!3d23.7078499!4d120.4371205!15sCi9Mb3Vpc2EgQ29mZmVlIOi3r-aYk-iOjuWSluWVoSAo6Zuy5p6X6JmO5bC-5bqXKSIDiAEBWjAiLmxvdWlzYSBjb2ZmZWUg6Lev5piTIOiOjiDlkpbllaEg6ZuyIOaelyDomY7lsL6SAQRjYWZl4AEA!16s%2Fg%2F11h05bnfg5?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
台南湖美門市,台南市 中西區 中華西路二段588號,ChIJpUPyJGp2bjQRDwXxNq9v9NQ,"https://www.google.com/maps/place/Louisa+Coffee+%E8%B7%AF%E6%98%93%E8%8E%8E%E5%92%96%E5%95%A1(%E5%8F%B0%E5%8D%97%E6%B9%96%E7%BE%8E%E9%96%80%E5%B8%82)/@23.0029971,120.1845594,17z/data=!3m1!4b1!4m6!3m5!1s0x346e767215fe4a17:0x6b8375ae116840b3!8m2!3d23.0029971!4d120.1871343!16s%2Fg%2F1z44z5tky?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
新竹公園,新竹市 東區 公園路133號,ChIJE4G97ec1aDQR2zGC9zsyeE8,"https://www.google.com/maps/place/Louisa+Coffee+%E8%B7%AF%E6%98%93%E8%8E%8E%E5%92%96%E5%95%A1+(%E6%96%B0%E7%AB%B9%E5%85%AC%E5%9C%92%E9%96%80%E5%B8%82)/@24.8003202,120.9747703,17z/data=!3m1!4b1!4m6!3m5!1s0x3468358a5f452c51:0xd7aa2109a84a32cf!8m2!3d24.8003202!4d120.9773452!16s%2Fg%2F11lt9pst_v?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
大甲鎮瀾門市,台中市 大甲區 育德路21號,ChIJNXjhtf8RaTQRb9CxGoNXz-o,"https://www.google.com/maps/place/Louisa+Coffee+%E8%B7%AF%E6%98%93%E8%8E%8E%E5%92%96%E5%95%A1(%E5%A4%A7%E7%94%B2%E9%8E%AE%E7%80%BE%E9%96%80%E5%B8%82)/@24.3458337,120.6040642,15z/data=!3m1!4b1!4m6!3m5!1s0x346911ffca99e925:0x30159fdbc2fee25c!8m2!3d24.3458348!4d120.6225183!16s%2Fg%2F11c0r5g53b?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
