shop,region
澎湖馬公門市,南部
金門金城門市,外島
花蓮民國門市,東部
三重成功門市,北部
高雄小港門市,南部
斗六中堅門市,中部
雲林虎尾門市,中部
台南湖美門市,南部
新竹公園,北部
大甲鎮瀾門市,中部
嘉義圓環門市,南部
草屯中正門市,中部
龍潭北龍門市,北部
鹿港中山門市,中部
員林大同96門市,中部
頭份建國門市,中部
苗栗縣府門市,中部
宜蘭礁溪門市,北部
宜蘭聖博門市,北部
基隆愛二門市,北部
基隆城上城門市,北部
竹北東元門市,北部
竹北博愛門市,北部
新竹市府門市,北部
新竹建中門市,北部
高雄文化直營門市,南部
高雄河堤門市,南部
高醫自由門市,南部
高雄澄清門市,南部
台南新市門市,南部
新營門市,南部
台南文元門市,南部
台南東門門市,南部
中港門市 (澄清醫院旁),中部
豐原三民門市,中部
文心森林公園門市,中部
中科直營門市,中部
桃園縣府門市,北部
桃鶯門市,北部
林口文興門市,北部
蘆竹南福門市,北部
劍潭承德門市,北部
民生圓環門市,北部
松山站前門市,北部
內湖瑞光直營門市,北部
輔大烘豆概念門市,北部
淡水新市直營門市,北部
板橋中正門市,北部
中和安平門市,北部
信陽直營門市,北部
台東鐵花村,東部
花蓮中山店,東部
屏東站前店,南部
屏東菸廠,南部
嘉義中山店,南部
南投復興店,中部
彰化中正店,中部
彰化彰基店,中部
鹿港中山店,中部
苗栗頭份店,中部
羅東公正店,北部
基隆仁愛店,北部
八德台安店,北部
新竹巨城店,北部
新竹竹科店,北部
新竹光復店,北部
竹北文興店,北部
竹北光明店,北部
竹東長春店,北部
竹北縣政店,北部
明誠農十六,南部
高雄五甲店,南部
市府晴朗店(經典),南部
高雄明華店,南部
十全民族店,南部
台南民族店,南部
台南新市店,南部
南科銘傳店,南部
天母中山店,北部
新營民治店,南部
秋紅谷朝富店,中部
台中學府店(亮點),中部
大甲站前店,中部
台中民權店,中部
台中中科店,中部
桃園大有店,北部
桃園大園店,北部
桃園聖保祿店,北部
中壢中央店,北部
八德介壽店,北部
淡水新市店,北部
板橋莊敬店,北部
樹林中山店,北部
汐止復興店,北部
永和中山店,北部
台北師大店,北部
台北萬大店,北部
CAMA COFFEE ROASTERS豆留文青,北部
CAMA COFFEE ROASTERS 豆留森林,北部
松山饒河店,北部
