shop,地址,place ID,urls
Cama_台東鐵花村,臺東縣臺東市鐵花路254號,ChIJ2e9Nkj25bzQR7lIPZdPXvAk,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%8F%B0%E6%9D%B1%E9%90%B5%E8%8A%B1%E6%9D%91%E5%BA%97/@22.7508257,121.1464582,17z/data=!3m1!4b1!4m6!3m5!1s0x346fb92c1196c405:0x449c490d6af4d828!8m2!3d22.7508257!4d121.1490331!16s%2Fg%2F11vbjtbttn?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_花蓮中山店,花蓮縣花蓮市中山路150號,ChIJ4aJducGfaDQR5YDD_NCIjHw,"https://www.google.com/maps/place/cama+caf%C3%A9+%E8%8A%B1%E8%93%AE%E4%B8%AD%E5%B1%B1%E5%BA%97/@23.9771501,121.590905,15z/data=!3m1!4b1!4m6!3m5!1s0x34689fc3dba96ca9:0xa4d49f24841a07d6!8m2!3d23.9771512!4d121.6093591!16s%2Fg%2F11gy7_f0hq?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_屏東站前店,屏東縣屏東市民族路165號,ChIJBYsuvoMXbjQR9qe3BSWyK4w,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%B1%8F%E6%9D%B1%E7%AB%99%E5%89%8D%E5%BA%97/@22.6701495,120.4835561,17z/data=!3m1!4b1!4m6!3m5!1s0x346e1783bfa631bd:0x7506064ce43e07f8!8m2!3d22.6701495!4d120.486131!16s%2Fg%2F1q62hl529?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_屏東菸廠,屏東縣屏東市民生路57巷8號,ChIJEfaPyfQXbjQRB4_h5sVa4-c,"https://www.google.com/maps/place/Cama+caf%C3%A9+%E5%B1%8F%E6%9D%B1%E8%8F%B8%E5%BB%A0%E5%BA%97/@22.6631242,120.5027358,17z/data=!3m1!4b1!4m6!3m5!1s0x346e17753686ed17:0x74436319a3215742!8m2!3d22.6631242!4d120.5053107!16s%2Fg%2F11tg6yrsp_?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_嘉義中山店,嘉義市西區中山路441號,ChIJx1X8PC6UbjQRpKdSFRmQFJ0,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%98%89%E7%BE%A9%E4%B8%AD%E5%B1%B1%E5%BA%97/@23.4794755,120.4438433,17z/data=!3m1!4b1!4m6!3m5!1s0x346e952c770345c5:0x24ad47e9fe6b5e46!8m2!3d23.4794755!4d120.4464182!16s%2Fg%2F11j7yy75hm?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_南投復興店,南投縣南投市復興路192號,ChIJbbao6IoxaTQRx4IkIPrBPuo,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%8D%97%E6%8A%95%E5%BE%A9%E8%88%88%E5%BA%97/@23.9071221,120.6846675,17z/data=!3m1!4b1!4m6!3m5!1s0x346931e0432205a7:0x1b7495454615d54d!8m2!3d23.9071221!4d120.6872424!16s%2Fg%2F11t18wdg_w?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_彰化中正店,彰化縣彰化市中正路二段642號,ChIJ3fMDQIc4aTQReXhK2wCIXL4,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%BD%B0%E5%8C%96%E4%B8%AD%E6%AD%A3%E5%BA%97/@24.068281,120.5325101,17z/data=!3m1!4b1!4m6!3m5!1s0x346938874003f3dd:0x1798113935fd4c5a!8m2!3d24.068281!4d120.535085!16s%2Fg%2F11b70flwsn?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_彰化彰基店,彰化縣彰化市華北里南校街128號,ChIJPfE2hY44aTQR8ZTDO2ntA3U,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%BD%B0%E5%8C%96%E5%BD%B0%E5%9F%BA%E5%BA%97/@24.07235,120.5420302,17z/data=!3m1!4b1!4m6!3m5!1s0x3469388e8536f13d:0x1e9e19fcf89a9de6!8m2!3d24.07235!4d120.5446051!16s%2Fg%2F11c2nnbr44?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_鹿港中山店,彰化縣鹿港鎮中山路375號,ChIJd9vIOeNFaTQRqaNRRtJE2FM,"https://www.google.com/maps/place/cama+caf%C3%A9+%E9%B9%BF%E6%B8%AF%E4%B8%AD%E5%B1%B1%E5%BA%97/@24.0583408,120.4291959,17z/data=!3m1!4b1!4m6!3m5!1s0x3469452f5f21ef37:0x3d4089e4e95661f1!8m2!3d24.0583408!4d120.4317708!16s%2Fg%2F11nmldwlhl?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_苗栗頭份店,苗栗縣頭份市建國路43號,ChIJs3JcBrxMaDQRBcGraDB8Etg,"https://www.google.com/maps/place/cama+caf%C3%A9+%E8%8B%97%E6%A0%97%E9%A0%AD%E4%BB%BD%E5%BA%97/@24.6936292,120.9107631,17z/data=!3m1!4b1!4m6!3m5!1s0x34684cbc0f640cf3:0x9e7fdbc2ce88853c!8m2!3d24.6936292!4d120.913338!16s%2Fg%2F11cmdb9726?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
