id,video_id,content,author,like_count,created_at,likes,timestamp,brand,sentiment,sentiment_score,topic
2,qvD8nvByXL0,標準的路線錯誤 主打內用你要翻桌率高才會賺 而且星巴克跟露易莎不對等不能比較,@sirhlee,0,2024-12-14 23:39:39,0,2025-02-20 09:22:56.118471,Louisa,中性,0,其他
5,qvD8nvByXL0,相比起來，還是比較喜歡路易莎的餐點，但是相比下超商的微波食品便宜更多，還能帶回家自己微波,@zogizogi,0,2024-11-24 00:25:23,0,2025-02-20 09:22:56.118471,Louisa,強烈正面,3,價格
16,qvD8nvByXL0,"露易莎應該是割完最後一波韭菜之後
就準備......",@carolli5784,0,2024-11-04 17:23:26,0,2025-02-20 09:22:56.118471,Louisa,中性,0,其他
17,qvD8nvByXL0,幾乎每間路易莎的廁所都很噁...,@姓氏名字-i5i,0,2024-11-03 12:29:26,0,2025-02-20 09:22:56.118471,Louisa,中性,0,其他
19,qvD8nvByXL0,路易莎的廁所太髒⋯⋯很多家都是,@Saynila,0,2024-11-01 12:51:00,0,2025-02-20 09:22:56.118471,Louisa,中性,0,其他
22,qvD8nvByXL0,"😂路易莎網速約10 M,麥味登我家附近竟然中嘉寬頻500 M雙向！！！ 而且漢堡還大一點",@skytien9517,0,2024-10-31 23:34:06,0,2025-02-20 09:22:56.118471,Louisa,中性,0,其他
24,qvD8nvByXL0,路易莎設個低消就能解決了😗,@貓咪咪-t7u,1,2024-10-31 07:30:32,0,2025-02-20 09:22:56.118471,Louisa,中性,0,其他
25,qvD8nvByXL0,我比較喜歡路易莎,@貓咪咪-t7u,0,2024-10-31 07:27:04,0,2025-02-20 09:22:56.118471,Louisa,強烈正面,3,其他
28,qvD8nvByXL0,我是一個外送員常常拿外送但是 星巴克的出餐速度超級慢的 每次去拿餐每次都要等 我不曉得是不是有我是外送員 一樣是拿路易莎跟星巴克我覺得星巴克的 員工對外送員 並沒有很親切 我的感受路易莎的員工比較親切,@游麗月-i7b,0,2024-10-31 03:19:26,0,2025-02-20 09:22:56.118471,Louisa,中性,0,服務
29,qvD8nvByXL0,"我覺得星巴克是有富爸爸的關係，定價高，說真的咖啡普普，價格拉高，桌子故意設計的很小（讓人不去整天耗在那裡），優點：是餐點是比路易莎多樣選擇，選擇的點都是較重要的位置，服務人員是比較受訓練更紮實（應該薪水也相對L高（我猜），
但除非必要是不會去那裡，經常在會去咖啡店，但一年去不到一次星巴克，我支持路易莎，內湖葫洲站附近的這一家服務態度很好👍",@鄒碧枝,0,2024-10-31 01:24:47,0,2025-02-20 09:22:56.118471,Louisa,中性,0,品質、服務、價格
